Spindle_Speed_rpm,Feed_mm_per_rev,Depth_of_Cut_mm,Machining_Length_mm,Machining_Time_sec,Operation_Milling,Operation_Turning,Material_Brass,Material_Cast Iron,Material_Mild Steel,Tool_Type_Carbide,Tool_Type_Coated Carbide,Tool_Type_HSS
1378,0.255,1.983,280,51.777918057600075,True,False,True,False,False,True,False,False
1893,0.218,1.76,223,34.543660115365896,False,True,False,True,False,True,False,False
834,0.211,2.631,88,48.95459198361106,True,False,False,False,True,False,False,True
1180,0.423,0.246,194,20.952974216990075,True,False,True,False,False,False,True,False
2788,0.229,1.399,119,13.985407607495903,True,False,False,False,True,True,False,False
1764,0.125,1.574,44,10.975141164355353,False,True,True,False,False,False,False,True
1778,0.124,2.255,296,93.68483773051453,False,True,False,False,True,False,False,True
1693,0.487,0.502,220,21.397733986036425,False,True,False,True,False,False,False,True
1493,0.254,1.243,51,6.439458873677999,False,True,True,False,False,True,False,False
2975,0.487,1.97,273,7.78137395696392,False,True,True,False,False,False,True,False
1822,0.174,1.531,44,12.356133641761708,True,False,False,False,True,False,False,True
1381,0.169,1.317,30,9.04380383271432,False,True,False,False,True,False,False,True
1651,0.482,2.062,77,5.807118351070792,True,False,True,False,False,True,False,False
2051,0.281,2.096,79,8.207678541967612,False,True,False,False,True,True,False,False
2865,0.205,1.45,233,16.602203746514196,False,True,True,False,False,False,True,False
737,0.1,1.109,293,169.64939635811027,False,True,True,False,False,False,True,False
698,0.391,2.885,170,61.47913905102995,True,False,False,True,False,False,False,True
2938,0.152,2.295,90,16.27101743027311,False,True,False,True,False,False,False,True
1570,0.328,0.53,274,46.36013605530063,True,False,False,True,False,True,False,False
2106,0.279,2.042,112,13.569218797311903,True,False,True,False,False,False,False,True
1047,0.329,1.524,105,17.71624817929774,False,True,False,True,False,False,True,False
1888,0.363,1.815,33,3.7641574247796443,False,True,False,True,False,False,False,True
1026,0.401,2.923,179,20.574164977642212,False,True,True,False,False,True,False,False
2624,0.061,1.259,61,17.546690735417204,False,True,True,False,False,True,False,False
2910,0.447,1.644,241,8.16353117034038,False,True,True,False,False,False,True,False
1450,0.361,2.302,275,27.87171980027225,False,True,False,False,True,False,True,False
1210,0.369,1.102,121,14.32217106323788,False,True,False,False,True,False,True,False
1413,0.481,1.75,65,7.945474945199845,True,False,False,True,False,True,False,False
2330,0.475,1.947,246,23.628812272569984,True,False,False,True,False,False,False,True
2025,0.258,1.671,62,7.3966001128473104,False,True,False,True,False,False,True,False
548,0.105,2.994,208,327.63663291680734,True,False,False,False,True,False,False,True
1292,0.177,2.301,182,59.2915988760754,False,True,False,False,True,False,False,True
2284,0.168,1.18,142,21.270981435891333,False,True,False,True,False,False,True,False
690,0.197,1.03,279,149.1148397791679,False,True,False,False,True,False,False,True
909,0.192,0.858,207,87.4919385363227,True,False,True,False,False,False,False,True
2200,0.224,1.328,84,15.001792217552143,True,False,False,True,False,True,False,False
1561,0.255,2.626,145,23.012979106726515,True,False,True,False,False,True,False,False
1269,0.283,2.972,197,42.17761039022005,False,True,False,True,False,False,False,True
2545,0.438,1.758,107,6.5623407472895074,False,True,False,True,False,True,False,False
727,0.304,0.629,261,81.60233442853728,False,True,False,True,False,True,False,False
2050,0.457,2.767,281,23.003202827504996,True,False,True,False,False,False,False,True
743,0.16,2.628,157,107.01905680882588,True,False,False,False,True,True,False,False
623,0.255,1.579,159,60.71520112597914,False,True,False,True,False,False,True,False
1609,0.377,2.173,287,21.293817300970993,False,True,True,False,False,False,True,False
1521,0.445,0.419,243,20.0903391662478,False,True,False,False,True,False,True,False
2939,0.117,2.457,49,7.89196976507072,False,True,True,False,False,False,False,True
1185,0.118,0.775,126,94.74541107267831,True,False,False,True,False,False,False,True
2706,0.174,1.399,254,40.088698289574374,True,False,False,False,True,True,False,False
1633,0.279,1.279,161,26.567873095239342,True,False,False,False,True,True,False,False
549,0.345,2.979,49,26.17249466567624,True,False,False,True,False,False,False,True
1351,0.091,1.522,282,200.78370523977475,True,False,False,True,False,True,False,False
1209,0.208,1.035,160,49.00888845459021,True,False,False,False,True,True,False,False
527,0.442,0.227,68,18.575608603276223,True,False,True,False,False,True,False,False
1709,0.18,0.337,156,28.756496006300928,False,True,False,True,False,False,True,False
2314,0.394,1.171,148,11.118693824651965,False,True,False,False,True,False,False,True
1025,0.152,1.337,53,21.19155284944534,False,True,False,True,False,False,True,False
